,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
589,8.0,750.0,650.0,0.0,0.0
590,7.0,70.0,750.0,0.0,0.0
591,5.0,250.0,250.0,30.0,0.0
592,6.0,0.0,90.0,0.0,0.0
593,5.0,150.0,450.0,0.0,250.0
594,10.0,70.0,70.0,70.0,150.0
595,7.0,250.0,850.0,350.0,250.0
596,5.0,0.0,550.0,0.0,0.0
597,6.0,70.0,350.0,50.0,50.0
598,6.0,250.0,650.0,150.0,150.0
599,5.0,0.0,750.0,50.0,0.0
600,6.0,0.0,,0.0,0.0
601,8.0,250.0,850.0,0.0,50.0
602,8.0,,1000.0,1000.0,
603,6.0,150.0,350.0,0.0,70.0
604,5.0,70.0,1000.0,30.0,30.0
605,7.0,350.0,750.0,250.0,450.0
606,6.0,250.0,550.0,0.0,250.0
607,6.0,250.0,1000.0,0.0,70.0
608,9.0,0.0,1000.0,0.0,0.0
609,8.0,650.0,1000.0,0.0,550.0
610,7.0,0.0,550.0,0.0,0.0
611,7.0,50.0,450.0,0.0,0.0
612,7.0,650.0,350.0,0.0,550.0
613,3.0,350.0,550.0,0.0,90.0
614,5.0,90.0,50.0,0.0,70.0
615,5.0,0.0,450.0,0.0,
616,7.0,250.0,50.0,150.0,150.0
617,3.0,0.0,90.0,0.0,0.0
618,10.0,90.0,550.0,150.0,250.0
619,5.0,50.0,750.0,0.0,70.0
620,6.0,30.0,50.0,30.0,90.0
621,6.0,0.0,350.0,0.0,90.0
622,7.0,50.0,70.0,0.0,0.0
623,4.0,0.0,250.0,50.0,0.0
624,9.0,70.0,650.0,350.0,150.0
625,4.0,70.0,450.0,0.0,0.0
626,8.0,450.0,1000.0,0.0,250.0
